timestamp,ax,ay,az,roll,pitch,wx,wy,wz,mx,my,mz
1605536951.48824763,-0.00536800,-0.00036600,1.02345800,-0.07540811,0.00636145,-0.00656250,-0.28379750,-0.15317750,-0.03215434,-1.57731657,-0.02820813
1605536951.55097961,-0.00512400,-0.00122000,1.02577600,0.07475486,0.10808215,-0.11156250,1.25620250,-0.01317750,-0.03215434,-1.57731657,-0.02820813
1605536951.61277080,-0.00378200,-0.00207400,1.02663000,-0.16523950,0.00064712,-0.21656250,0.62620250,0.12682250,-0.03814674,-1.57278574,-0.02046185
1605536951.67425346,-0.00463600,0.00207400,1.02602000,0.14975431,0.04684577,-0.00656250,-0.10879750,0.12682250,-0.03449284,-1.57351652,-0.02820813
1605536951.73579478,-0.00512400,-0.00012200,1.02699600,-0.00696862,0.08047712,-0.21656250,0.62620250,0.19682250,-0.03449284,-1.57351652,-0.02820813
1605536951.79734755,-0.00524600,0.00036600,1.02650800,0.04073706,0.19303298,-0.14656250,0.34620250,0.09182250,-0.03288512,-1.57293189,-0.03054662
1605536951.85881877,-0.00500200,-0.00073200,1.02589800,-0.00719795,0.06843155,-0.25156250,0.87120250,-0.01317750,-0.03770827,-1.57439345,-0.03083894
1605536951.92024660,-0.00341600,-0.00170800,1.03090000,-0.06105722,0.13361124,-0.00656250,-0.17879750,0.05682250,-0.03770827,-1.57439345,-0.03083894
1605536951.98167348,-0.00390400,0.00000000,1.02821600,-0.08921435,0.01346008,-0.04156250,0.34620250,-0.15317750,-0.02513885,-1.57000877,-0.03653902
1605536952.04312181,-0.00292800,-0.00207400,1.02638600,1.65073450,-0.04985119,-0.14656250,0.73120250,-0.01317750,-0.02513885,-1.57000877,-0.03653902
1605536952.10458183,-0.00305000,0.00024400,1.02846000,0.04746191,0.15482127,-0.35656250,1.39620250,0.12682250,-0.03887752,-1.57337036,-0.03420053
1605536952.16603851,-0.00378200,-0.00061000,1.01882200,-0.12392745,0.24747900,0.06343750,-0.94879750,-0.46817750,-0.03273897,-1.57790120,-0.02470038
1605536952.22881722,-0.00292800,-0.00085400,1.02675200,-0.00017090,-0.21900089,-0.07656250,0.10120250,-0.39817750,-0.03273897,-1.57790120,-0.02470038
1605536952.29173493,-0.00280600,-0.00122000,1.02480000,-0.21726978,0.24936272,-0.18156250,0.41620250,0.30182250,-0.03463899,-1.56971646,-0.03303128
1605536952.35456276,-0.00402600,-0.00024400,1.02650800,0.04753666,0.02015985,0.02843750,0.20620250,-0.08317750,-0.03683134,-1.57424730,-0.02762350
1605536952.41724253,-0.00439200,-0.00024400,1.02736200,0.02014880,0.07592996,-0.21656250,0.48620250,-0.04817750,-0.03683134,-1.57424730,-0.02762350
1605536952.48008370,-0.00512400,0.00012200,1.02589800,0.03386888,0.00633580,-0.28656250,0.66120250,0.51182250,-0.03931599,-1.57234727,-0.02864659
